pts,elo_i,opp_pts,elo_n
75,1379.8049,64,1385.5331
66,1313.6263,72,1308.3997
72,1310.4608,66,1315.6875
44,1210.9467,62,1206.0377
62,1359.2839,44,1364.1929
58,1234.9664,66,1225.3917
66,1320.2988,58,1329.8735
62,1334.5652,61,1339.8789
61,1315.6875,62,1310.3738
85,1308.3997,73,1322.4008
73,1261.624,85,1247.6229
79,1310.3738,88,1303.9496
88,1312.6069,79,1319.0311
68,1256.0878,83,1250.736
83,1364.1929,68,1369.5447
66,1329.8735,81,1322.9327
81,1385.5331,66,1392.4739
66,1322.9327,73,1313.9904
73,1206.0377,66,1214.9801
64,1392.4739,49,1407.4528
49,1322.4008,64,1307.4219
88,1319.0311,68,1343.2291
68,1339.8789,88,1315.6809
62,1225.3917,52,1240.7815
52,1247.6229,62,1232.2332
77,1214.9801,65,1226.2948
65,1307.4219,77,1296.1072
81,1250.736,66,1262.4368
66,1313.9904,81,1302.2896
52,1303.9496,72,1297.2839
72,1407.4528,52,1414.1184
84,1343.2291,75,1347.2114
75,1240.7815,84,1236.7992
52,1369.5447,70,1355.8319
70,1297.2839,52,1310.9967
46,1315.6809,50,1304.6824
50,1232.2332,46,1243.2317
55,1236.7992,66,1224.4557
66,1304.6824,55,1317.0259
78,1310.9967,62,1317.8322
62,1243.2317,78,1236.3962
49,1302.2896,57,1296.0708
57,1296.1072,49,1302.3259
56,1317.8322,53,1326.4893
53,1355.8319,56,1347.1748
68,1414.1184,47,1421.2426
47,1317.0259,68,1309.9017
74,1226.2948,76,1221.1678
76,1309.9017,74,1315.0287
58,1302.3259,44,1311.8464
44,1326.4893,58,1316.9688
81,1262.4368,77,1268.4114
77,1347.2114,81,1341.2368
70,1347.1748,74,1340.5975
74,1236.3962,70,1242.9735
63,1268.4114,61,1272.7605
61,1340.5975,63,1336.2484
68,1421.2426,56,1425.8375
56,1311.8464,68,1307.2515
95,1341.2368,92,1344.2667
92,1296.0708,95,1293.0409
78,1224.4557,74,1235.696
74,1316.9688,78,1305.7284
53,1221.1678,65,1216.1962
65,1315.0287,53,1320.0004
54,1216.1962,64,1209.8594
64,1235.696,54,1242.0328
53,1307.2515,46,1311.3928
46,1242.0328,53,1237.8915
66,1272.7605,78,1263.2903
78,1425.8375,66,1435.3077
51,1293.0409,55,1289.309
55,1320.0004,51,1323.7323
60,1209.8594,63,1204.3003
63,1311.3928,60,1316.9519
80,1242.9735,88,1233.9374
88,1344.2667,80,1353.3029
68,1204.3003,80,1198.3969
80,1263.2903,68,1269.1937
70,1435.3077,49,1442.3615
49,1336.2484,70,1329.1947
87,1353.3029,79,1364.1989
79,1305.7284,87,1294.8324
48,1289.309,52,1279.0566
52,1233.9374,48,1244.1897
68,1316.9519,75,1311.511
75,1323.7323,68,1329.1732
70,1442.3615,60,1448.0177
60,1198.3969,70,1192.7406
62,1311.511,60,1316.821
60,1237.8915,62,1232.5814
59,1294.8324,68,1282.6403
68,1329.1732,59,1341.3654
86,1244.1897,76,1255.3428
76,1364.1989,86,1353.0458
103,1341.3654,90,1359.0022
90,1353.0458,103,1335.4089
62,1279.0566,57,1287.9642
57,1448.0177,62,1439.1101
61,1282.6403,48,1297.225
48,1232.5814,61,1217.9967
72,1269.1937,84,1262.9604
84,1316.821,72,1323.0543
66,1359.0022,57,1368.0355
57,1439.1101,66,1430.0768
58,1192.7406,53,1204.3622
53,1255.3428,58,1243.7212
50,1287.9642,62,1273.708
62,1329.1947,50,1343.4509
74,1323.0543,78,1317.6265
78,1262.9604,74,1268.3883
64,1297.225,78,1292.7268
78,1430.0768,64,1434.575
57,1368.0355,59,1360.8228
59,1343.4509,57,1350.6637
64,1292.7268,53,1304.2137
53,1204.3622,64,1192.8752
63,1434.575,49,1442.5338
49,1217.9967,63,1210.0378
61,1273.708,76,1263.4937
76,1243.7212,61,1253.9355
80,1263.4937,83,1257.3132
83,1335.4089,80,1341.5894
76,1253.9355,63,1275.9305
63,1350.6637,76,1328.6687
63,1317.6265,67,1311.1245
67,1210.0378,63,1216.5398
77,1442.5338,69,1445.0814
69,1268.3883,77,1265.8407
74,1311.1245,55,1320.103
55,1275.9305,74,1266.952
91,1265.8407,68,1280.0374
68,1304.2137,91,1290.0171
84,1360.8228,81,1364.2407
81,1341.5894,84,1338.1714
62,1328.6687,66,1321.4895
66,1192.8752,62,1200.0544
58,1257.3132,56,1261.5048
56,1320.103,58,1315.9115
73,1200.0544,72,1207.0247
72,1280.0374,73,1273.0671
66,1266.952,81,1263.2552
81,1445.0814,66,1448.7782
75,1338.1714,72,1341.5424
72,1315.9115,75,1312.5405
59,1216.5398,72,1212.5773
72,1364.2407,59,1368.2032
53,1321.4895,50,1326.8982
50,1212.5773,53,1207.1686
74,1290.0171,78,1280.7762
78,1273.0671,74,1282.308
74,1263.2552,104,1237.1625
104,1312.5405,74,1338.6333
59,1341.5424,68,1332.5114
68,1261.5048,59,1270.5358
63,1326.8982,65,1322.4481
65,1448.7782,63,1453.2283
65,1207.1686,53,1217.7629
53,1282.308,65,1271.7136
38,1453.2283,47,1437.8223
47,1207.0247,38,1222.4307
78,1338.6333,84,1327.6796
84,1332.5114,78,1343.4651
63,1280.7762,59,1291.8809
59,1368.2032,63,1357.0986
64,1237.1625,74,1224.124
74,1270.5358,64,1283.5742
45,1322.4481,58,1300.2828
58,1222.4307,45,1244.5959
72,1343.4651,87,1337.7271
87,1437.8223,72,1443.5603
72,1300.2828,79,1294.4644
79,1291.8809,72,1297.6993
69,1357.0986,53,1363.3656
53,1271.7136,69,1265.4467
54,1244.5959,81,1223.8215
81,1337.7271,54,1358.5015
57,1283.5742,62,1277.3961
62,1217.7629,57,1223.941
43,1223.8215,59,1218.111
59,1327.6796,43,1333.3901
72,1224.124,71,1228.7662
71,1363.3656,72,1358.7234
61,1297.6993,47,1314.5339
47,1277.3961,61,1260.5615
74,1294.4644,64,1303.5112
64,1358.5015,74,1349.4546
55,1333.3901,57,1331.4896
57,1443.5603,55,1445.4608
48,1218.111,43,1222.9237
43,1223.941,48,1219.1283
97,1349.4546,76,1357.0613
76,1265.4467,97,1257.84
83,1331.4896,78,1335.8369
78,1314.5339,83,1310.1866
96,1257.84,93,1264.9603
93,1228.7662,96,1221.6459
61,1335.8369,55,1344.2861
55,1260.5615,61,1252.1123
46,1303.5112,52,1290.1566
52,1222.9237,46,1236.2783
84,1445.4608,71,1448.0367
71,1219.1283,84,1216.5524
57,1344.2861,63,1339.418
63,1357.0613,57,1361.9294
71,1358.7234,66,1361.5421
66,1252.1123,71,1249.2936
57,1236.2783,80,1224.8512
80,1448.0367,57,1459.4639
63,1264.9603,71,1257.5262
71,1216.5524,63,1223.9865
82,1221.6459,88,1213.5844
88,1310.1866,82,1318.2482
80,1318.2482,70,1322.4463
70,1213.5844,80,1209.3862
83,1257.5262,73,1271.6172
73,1249.2936,83,1235.2026
60,1223.9865,64,1220.8876
64,1290.1566,60,1293.2555
57,1224.8512,69,1222.5165
69,1459.4639,57,1461.7986
51,1220.8876,66,1211.9781
66,1222.5165,51,1231.4259
65,1339.418,58,1343.9559
58,1293.2555,65,1288.7175
81,1271.6172,70,1291.0675
70,1361.5421,81,1342.0918
83,1209.3862,74,1225.045
74,1461.7986,83,1446.1398
63,1288.7175,71,1278.0945
71,1343.9559,63,1354.579
89,1291.0675,73,1297.5333
73,1211.9781,89,1205.5123
48,1322.4463,70,1311.7612
70,1342.0918,48,1352.7769
90,1361.9294,75,1366.5396
75,1225.045,90,1220.4349
81,1311.7612,107,1294.464
107,1446.1398,81,1463.437
63,1278.0945,65,1274.2264
65,1235.2026,63,1239.0707
55,1231.4259,61,1224.339
61,1354.579,55,1361.6659
63,1352.7769,68,1344.474
68,1205.5123,63,1213.8152
68,1297.5333,75,1293.3701
75,1361.6659,68,1365.8291
67,1463.437,46,1473.5576
46,1239.0707,67,1228.9501
46,1274.2264,71,1252.9094
71,1344.474,46,1365.791
55,1213.8152,58,1206.1873
58,1220.4349,55,1228.0629
49,1224.339,48,1227.3872
48,1252.9094,49,1249.8612
109,1366.5396,85,1372.1686
85,1206.1873,109,1200.5582
79,1365.8291,61,1371.0201
61,1228.0629,79,1222.8718
65,1293.3701,73,1283.3506
73,1365.791,65,1375.8105
64,1228.9501,58,1233.483
58,1200.5582,64,1196.0253
69,1249.8612,46,1260.5216
46,1222.8718,69,1212.2114
67,1283.3506,58,1292.6475
58,1371.0201,67,1361.7233
68,1473.5576,65,1479.1947
65,1375.8105,68,1370.1735
67,1479.1947,85,1463.5684
85,1372.1686,67,1387.7949
74,1233.483,69,1245.0568
69,1294.464,74,1282.8903
75,1196.0253,69,1208.9556
69,1463.5684,75,1450.6381
85,1282.8903,76,1289.6622
76,1292.6475,85,1285.8755
75,1361.7233,59,1371.4485
59,1370.1735,75,1360.4482
84,1245.0568,64,1258.058
64,1285.8755,84,1272.8743
72,1450.6381,76,1442.0931
76,1260.5216,72,1269.0665
101,1387.7949,82,1399.3475
82,1208.9556,101,1197.403
64,1227.3872,54,1239.058
54,1360.4482,64,1348.7775
81,1399.3475,79,1401.0946
79,1272.8743,81,1271.1272
61,1371.4485,48,1377.009
48,1289.6622,61,1284.1017
73,1197.403,84,1190.5342
84,1212.2114,73,1219.0802
90,1284.1017,84,1294.3878
84,1269.0665,90,1258.7804
72,1190.5342,82,1185.7968
82,1271.1272,72,1275.8646
70,1442.0931,60,1447.2051
60,1377.009,70,1371.8971
84,1401.0946,77,1403.6147
77,1239.058,84,1236.5378
71,1371.8971,75,1366.0861
75,1294.3878,71,1300.1989
66,1258.7804,58,1271.387
58,1258.058,66,1245.4514
80,1348.7775,64,1353.776
64,1219.0802,80,1214.0817
59,1245.4514,63,1240.0331
63,1185.7968,59,1191.2151
73,1236.5378,84,1231.0762
84,1300.1989,73,1305.6605
57,1353.776,65,1343.3323
65,1214.0817,57,1224.5254
51,1240.0331,57,1228.9891
57,1231.0762,51,1242.1201
69,1275.8646,62,1287.4165
62,1271.387,69,1259.8351
69,1447.2051,59,1449.432
59,1224.5254,69,1222.2985
76,1228.9891,74,1239.26
74,1403.6147,76,1393.3439
78,1366.0861,66,1369.3383
66,1191.2151,78,1187.9629
74,1287.4165,82,1280.2942
82,1449.432,74,1456.5543
77,1259.8351,49,1269.7465
49,1187.9629,77,1178.0515
65,1343.3323,60,1349.1321
60,1393.3439,65,1387.5441
67,1222.2985,61,1227.9174
61,1242.1201,67,1236.5012
77,1305.6605,85,1298.9054
85,1280.2942,77,1287.0493
61,1178.0515,93,1174.4745
93,1456.5543,61,1460.1313
55,1236.5012,67,1222.6729
67,1287.0493,55,1300.8777
82,1387.5441,68,1392.4084
68,1269.7465,82,1264.8821
91,1460.1313,83,1467.277
83,1298.9054,91,1291.7598
52,1227.9174,61,1221.7498
61,1239.26,52,1245.4276
71,1349.1321,66,1354.254
66,1369.3383,71,1364.2163
67,1174.4745,69,1171.1055
69,1364.2163,67,1367.5853
59,1222.6729,83,1219.1423
83,1467.277,59,1470.8075
96,1354.254,76,1372.9569
76,1291.7598,96,1273.0569
60,1300.8777,83,1284.1725
83,1221.7498,60,1238.455
72,1392.4084,68,1397.6844
68,1245.4276,72,1240.1516
84,1470.8075,60,1482.8972
60,1264.8821,84,1252.7924
75,1367.5853,65,1374.6681
65,1372.9569,75,1365.8741
74,1273.0569,53,1289.8831
53,1171.1055,74,1154.2793
65,1284.1725,73,1270.3633
73,1252.7924,65,1266.6016
62,1289.8831,69,1282.3534
69,1219.1423,62,1226.672
77,1238.455,69,1248.7762
69,1374.6681,77,1364.3468
48,1248.7762,63,1240.4922
63,1266.6016,48,1274.8856
80,1270.3633,74,1274.8582
74,1240.1516,80,1235.6567
52,1226.672,75,1223.4663
75,1482.8972,52,1486.1029
86,1365.8741,98,1359.1602
98,1397.6844,86,1404.3984
69,1364.3468,72,1359.121
72,1282.3534,69,1287.5792
66,1240.4922,76,1236.5841
76,1359.121,66,1363.0291
66,1154.2793,69,1151.3198
69,1404.3984,66,1407.3579
70,1274.8582,71,1273.0466
71,1359.1602,70,1360.9717
82,1287.5792,76,1292.4088
76,1273.0466,82,1268.217
60,1151.3198,63,1145.4227
63,1236.5841,60,1242.4812
67,1235.6567,99,1231.4539
99,1486.1029,67,1490.3058
74,1223.4663,65,1230.1863
65,1231.4539,74,1224.7339
71,1145.4227,72,1144.7286
72,1407.3579,71,1408.052
59,1363.0291,61,1354.5304
61,1274.8856,59,1283.3843
86,1490.3058,70,1497.8296
70,1242.4812,86,1234.9574
67,1230.1863,65,1233.4753
65,1234.9574,67,1231.6683
81,1268.217,107,1261.5695
107,1408.052,81,1414.6996
64,1283.3843,61,1286.2252
61,1224.7339,64,1221.8929
73,1360.9717,74,1359.5875
74,1497.8296,73,1499.2137
107,1414.6996,78,1434.3163
78,1292.4088,107,1272.7921
87,1261.5695,70,1280.2823
70,1233.4753,87,1214.7625
78,1272.7921,72,1275.5651
72,1144.7286,78,1141.9557
77,1354.5304,80,1349.8231
80,1499.2137,77,1503.921
71,1359.5875,79,1349.5562
79,1231.6683,71,1241.6997
57,1241.6997,69,1232.9845
69,1214.7625,57,1223.4777
89,1275.5651,81,1286.2437
81,1221.8929,89,1211.2144
69,1434.3163,86,1417.9938
86,1503.921,69,1520.2435
74,1349.5562,78,1344.0581
78,1286.2252,74,1291.7233
81,1349.8231,57,1356.561
57,1223.4777,81,1216.7397
71,1280.2823,64,1284.7959
64,1232.9845,71,1228.4709
67,1356.561,70,1353.7579
70,1417.9938,67,1420.7969
56,1344.0581,60,1338.6482
60,1284.7959,56,1290.2058
78,1520.2435,63,1523.0393
63,1291.7233,78,1288.9275
81,1288.9275,69,1304.991
69,1286.2437,81,1270.1802
61,1211.2144,67,1204.6473
67,1353.7579,61,1360.325
67,1270.1802,58,1281.6375
58,1216.7397,67,1205.2825
59,1204.6473,68,1196.0957
68,1338.6482,59,1347.1998
70,1141.9557,64,1155.5035
64,1228.4709,70,1214.9231
57,1420.7969,65,1403.7662
65,1304.991,57,1322.0216
79,1347.1998,54,1360.4539
54,1155.5035,79,1142.2495
96,1523.0393,95,1523.8585
95,1290.2058,96,1289.3866
75,1196.0957,77,1194.6653
77,1360.325,75,1361.7554
73,1281.6375,76,1278.0375
76,1289.3866,73,1292.9866
49,1322.0216,51,1319.3185
51,1360.4539,49,1363.157
83,1214.9231,99,1205.0825
99,1403.7662,83,1413.6068
58,1413.6068,67,1394.5332
67,1278.0375,58,1297.1111
85,1194.6653,65,1203.2419
65,1142.2495,85,1133.6729
82,1292.9866,103,1274.0464
103,1361.7554,82,1380.6956
63,1523.8585,68,1507.9979
68,1319.3185,63,1335.1791
69,1297.1111,63,1300.4148
63,1203.2419,69,1199.9382
40,1205.0825,60,1200.0703
60,1363.157,40,1368.1692
80,1394.5332,69,1402.2272
69,1205.2825,80,1197.5885
65,1335.1791,51,1343.6949
51,1133.6729,65,1125.157
72,1300.4148,64,1304.1222
64,1197.5885,72,1193.8811
63,1199.9382,67,1195.104
67,1368.1692,63,1373.0034
91,1343.6949,84,1347.7479
84,1274.0464,91,1269.9934
61,1125.157,74,1111.4615
74,1193.8811,61,1207.5765
77,1402.2272,105,1393.8607
105,1507.9979,77,1516.3644
73,1393.8607,80,1387.9205
80,1380.6956,73,1386.6357
71,1200.0703,61,1212.3307
61,1347.7479,71,1335.4875
66,1195.104,63,1199.1213
63,1212.3307,66,1208.3134
79,1387.9205,83,1381.1733
83,1269.9934,79,1276.7406
59,1373.0034,55,1374.8636
55,1207.5765,59,1205.7163
79,1516.3644,69,1518.7253
69,1304.1222,79,1301.7612
66,1301.7612,71,1289.1487
71,1205.7163,66,1218.3289
72,1335.4875,76,1332.156
76,1386.6357,72,1389.9673
66,1374.8636,73,1369.4114
73,1381.1733,66,1386.6256
77,1289.1487,51,1304.9407
51,1332.156,77,1316.364
68,1369.4114,73,1365.1349
73,1389.9673,68,1394.2438
65,1518.7253,81,1491.3843
81,1386.6256,65,1413.9667
69,1413.9667,53,1438.0586
53,1491.3843,69,1467.2924
86,1316.364,74,1323.7344
74,1304.9407,86,1297.5703
51,1394.2438,73,1381.0083
73,1365.1349,51,1378.3704
75,1381.0083,59,1400.4183
59,1378.3704,75,1358.9603
67,1438.0586,55,1446.8588
55,1467.2924,67,1458.4922
93,1323.7344,71,1334.1049
71,1297.5703,93,1287.1998
69,1446.8588,76,1441.5352
76,1458.4922,69,1463.8158
67,1463.8158,55,1478.9536
55,1441.5352,67,1426.3973
70,1334.1049,82,1328.4071
82,1400.4183,70,1406.1161
66,1426.3973,61,1432.2572
61,1478.9536,66,1473.0938
72,1406.1161,53,1423.2423
53,1328.4071,72,1311.2809
84,1423.2423,71,1431.7393
71,1432.2572,84,1423.7603
85,1431.7393,74,1438.8226
74,1423.7603,85,1416.6769
72,1416.6769,75,1409.4009
75,1438.8226,72,1446.0986
73,1446.0986,74,1442.9448
74,1409.4009,73,1412.5547
80,1412.5547,83,1409.3076
83,1442.9448,80,1446.1919
63,1481.0703,55,1485.6085
55,1419,63,1414.4618
85,1414.4618,74,1418.4851
74,1289.9966,85,1285.9733
80,1433.2307,70,1439.0546
70,1395.4702,80,1389.6464
65,1485.6085,80,1470.8373
80,1359.7107,65,1374.4819
64,1333.8054,79,1328.9529
79,1460.8939,64,1465.7465
79,1465.7465,74,1470.8689
74,1285.9733,79,1280.8508
69,1470.8373,73,1462.2957
73,1280.8508,69,1289.3925
67,1418.4851,63,1427.8206
63,1439.0546,67,1429.7191
73,1374.4819,67,1379.9894
67,1389.6464,73,1384.1389
80,1470.8689,78,1474.9827
78,1328.9529,80,1324.8391
50,1289.3925,65,1275.6677
65,1384.1389,50,1397.8636
87,1379.9894,69,1397.8147
69,1324.8391,87,1307.0138
63,1397.8147,81,1378.5894
81,1429.7191,63,1448.9443
67,1474.9827,74,1469.0547
74,1462.2957,67,1468.2236
56,1378.5894,68,1372.4034
68,1427.8206,56,1434.0065
81,1448.9443,77,1453.5292
77,1468.2236,81,1463.6388
67,1275.6677,57,1298.5594
57,1469.0547,67,1446.163
73,1397.8636,67,1401.2179
67,1307.0138,73,1303.6595
73,1298.5594,89,1286.2784
89,1434.0065,73,1446.2875
72,1453.5292,75,1449.6821
75,1446.2875,72,1450.1345
62,1303.6595,65,1299.6395
65,1286.2784,62,1290.2985
83,1446.163,78,1453.8931
78,1372.4034,83,1364.6733
62,1463.6388,70,1455.7742
70,1401.2179,62,1409.0825
91,1364.6733,75,1380.0829
75,1290.2985,91,1274.8889
63,1380.0829,65,1371.2363
65,1274.8889,63,1283.7355
83,1455.7742,64,1464.2799
64,1409.0825,83,1400.5768
59,1453.8931,81,1423.4999
81,1371.2363,59,1401.6295
61,1299.6395,76,1288.5664
76,1450.1345,61,1461.2076
92,1283.7355,83,1296.5094
83,1464.2799,92,1451.506
75,1449.6821,71,1453.4275
71,1423.4999,75,1419.7545
67,1400.5768,71,1393.3099
71,1461.2076,67,1468.4745
78,1451.506,85,1434.0424
85,1288.5664,78,1306.03
70,1434.0424,62,1445.4846
62,1401.6295,70,1390.1873
69,1296.5094,77,1289.6776
77,1468.4745,69,1475.3063
66,1306.03,86,1288.8757
86,1393.3099,66,1410.4642
81,1453.4275,73,1459.2689
73,1445.4846,81,1439.6432
58,1419.7545,73,1404.0184
73,1475.3063,58,1491.0424
65,1410.4642,51,1432.6763
51,1491.0424,65,1468.8303
73,1289.6776,69,1293.8782
69,1288.8757,73,1284.6752
73,1459.2689,65,1465.5802
65,1468.8303,73,1462.519
85,1284.6752,114,1263.7725
114,1390.1873,85,1411.09
71,1411.09,56,1420.947
56,1432.6763,71,1422.8192
74,1263.7725,78,1261.6449
78,1404.0184,74,1406.146
75,1293.8782,79,1288.1692
79,1420.947,75,1426.656
71,1439.6432,69,1446.8217
69,1462.519,71,1455.3406
69,1406.146,74,1396.8315
74,1422.8192,69,1432.1337
69,1288.1692,67,1293.156
67,1396.8315,69,1391.8447
85,1432.1337,75,1448.0066
75,1465.5802,85,1449.7073
80,1426.656,66,1446.074
66,1455.3406,80,1435.9226
72,1261.6449,88,1257.9304
88,1446.8217,72,1450.5361
71,1446.074,74,1437.0378
74,1391.8447,71,1400.8809
67,1293.156,66,1295.4513
66,1257.9304,67,1255.6351
64,1435.9226,66,1432.9059
66,1450.5361,64,1453.5529
67,1448.0066,74,1442.0165
74,1432.9059,67,1438.896
70,1453.5529,64,1464.1909
64,1449.7073,70,1439.0692
99,1437.0378,71,1462.9384
71,1400.8809,99,1374.9803
78,1295.4513,70,1306.1383
70,1442.0165,78,1431.3295
58,1306.1383,70,1302.5533
70,1462.9384,58,1466.5233
80,1374.9803,74,1382.1716
74,1255.6351,80,1248.4438
55,1431.3295,52,1439.8669
52,1464.1909,55,1455.6534
83,1438.896,93,1431.9843
93,1439.0692,83,1445.981
75,1302.5533,83,1294.87
83,1445.981,75,1453.6643
58,1466.5233,66,1453.2147
66,1248.4438,58,1261.7524
70,1453.6643,87,1442.936
87,1431.9843,70,1442.7125
75,1261.7524,89,1258.4694
89,1453.2147,75,1456.4978
73,1455.6534,56,1475.093
56,1439.8669,73,1420.4274
61,1258.4694,89,1250.84
89,1382.1716,61,1389.801
74,1294.87,63,1300.8699
63,1250.84,74,1244.8401
79,1442.936,70,1457.0226
70,1456.4978,79,1442.4113
70,1389.801,72,1387.6461
72,1475.093,70,1477.2479
63,1442.7125,67,1438.0684
67,1420.4274,63,1425.0715
64,1387.6461,70,1380.2854
70,1300.8699,64,1308.2306
85,1457.0226,73,1464.3678
73,1244.8401,85,1237.4949
60,1438.0684,72,1419.0874
72,1380.2854,60,1399.2664
58,1425.0715,48,1429.0157
48,1308.2306,58,1304.2864
60,1477.2479,69,1468.288
69,1399.2664,60,1408.2263
79,1419.0874,70,1433.5667
70,1442.4113,79,1427.932
76,1237.4949,79,1234.1946
79,1464.3678,76,1467.6681
95,1468.288,60,1475.5432
60,1304.2864,95,1297.0311
80,1429.0157,66,1436.8234
66,1408.2263,80,1400.4187
64,1234.1946,82,1230.4728
82,1433.5667,64,1437.2885
74,1427.932,79,1419.2684
79,1467.6681,74,1476.3317
78,1437.2885,75,1441.6934
75,1476.3317,78,1471.9268
76,1436.8234,73,1441.2224
73,1475.5432,76,1471.1442
60,1400.4187,77,1384.2031
77,1471.9268,60,1488.1423
70,1230.4728,57,1241.2612
57,1297.0311,70,1286.2427
106,1471.1442,99,1474.8654
99,1384.2031,106,1380.4819
56,1474.8654,84,1446.8906
84,1286.2427,56,1314.2174
99,1488.1423,86,1494.0676
86,1419.2684,99,1413.3431
54,1441.6934,69,1432.7007
69,1441.2224,54,1450.2151
67,1494.0676,75,1486.6708
75,1446.8906,67,1454.2875
78,1241.2612,98,1229.9244
98,1432.7007,78,1444.0375
